date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:24:17	56307/56307	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:51:30%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro101-1-600x778.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro101-1-600x778.jpg	(from http://tuongnam.com.vn/kobolg/shop.html)
08:24:17	32209/32209	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2004:03:16%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro181-2-600x778.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro181-2-600x778.jpg	(from http://tuongnam.com.vn/kobolg/shop.html)
08:24:20	44178/44178	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2004:06:48%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro83-1-600x778.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro83-1-600x778.jpg	(from http://tuongnam.com.vn/kobolg/shop.html)
08:24:24	36776/36776	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:42:40%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro61-1-600x778.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro61-1-600x778.jpg	(from http://tuongnam.com.vn/kobolg/shop.html)
08:24:25	33715/33715	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2004:09:48%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro191-1-600x778.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro191-1-600x778.jpg	(from http://tuongnam.com.vn/kobolg/shop.html)
08:24:25	30699/30699	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2004:04:18%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro13-1-600x778.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro13-1-600x778.jpg	(from http://tuongnam.com.vn/kobolg/shop.html)
08:24:26	79489/79489	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:53:06%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro141-1-600x778.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro141-1-600x778.jpg	(from http://tuongnam.com.vn/kobolg/shop.html)
08:24:33	53725/53725	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:11:42%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro131-2.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro131-2.jpg	(from http://tuongnam.com.vn/kobolg/single-product.html)
08:24:35	2182/2182	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:11:50%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro131-2-100x100.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro131-2-100x100.jpg	(from http://tuongnam.com.vn/kobolg/single-product.html)
08:24:36	38570/38570	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:13:44%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro132-1.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro132-1.jpg	(from http://tuongnam.com.vn/kobolg/single-product.html)
